tastes_excellent,look_good,satisfies_hunger,satisfies_thirst,refreshing,for_everyday,for_special,for_adults,favorite,different,cool,never_eat,fun,expensive
Nogger,0.205882352941176,0.117647058823529,0.127450980392157,0.00980392156862745,0.0294117647058824,0.0588235294117647,0.107843137254902,0.117647058823529,0.0686274509803922,0.0686274509803922,0.0784313725490196,0.0784313725490196,0.0784313725490196,0.0882352941176471
Magnum,0.411764705882353,0.343137254901961,0.294117647058824,0.0196078431372549,0.0686274509803922,0.225490196078431,0.264705882352941,0.392156862745098,0.245098039215686,0.186274509803922,0.245098039215686,0.0294117647058824,0.0882352941176471,0.549019607843137
Cornetto,0.480392156862745,0.294117647058824,0.294117647058824,0.0490196078431373,0.107843137254902,0.196078431372549,0.294117647058824,0.401960784313726,0.264705882352941,0.0882352941176471,0.0980392156862745,0.0294117647058824,0.117647058823529,0.352941176470588
Viennetta,0.117647058823529,0.137254901960784,0.0784313725490196,0,0.0294117647058824,0.0490196078431373,0.274509803921569,0.284313725490196,0.0392156862745098,0.0882352941176471,0.0196078431372549,0.0882352941176471,0.0490196078431373,0.196078431372549
Max,0,0.0196078431372549,0.00980392156862745,0,0.00980392156862745,0.00980392156862745,0,0.0196078431372549,0.00980392156862745,0.0392156862745098,0.0196078431372549,0.117647058823529,0.0588235294117647,0.0196078431372549
Solero,0.235294117647059,0.245098039215686,0.0490196078431373,0.147058823529412,0.225490196078431,0.117647058823529,0.0784313725490196,0.127450980392157,0.107843137254902,0.0882352941176471,0.235294117647059,0.117647058823529,0.137254901960784,0.176470588235294
Jolly,0.313725490196078,0.147058823529412,0.0490196078431373,0.284313725490196,0.294117647058824,0.225490196078431,0.0686274509803922,0.0294117647058824,0.107843137254902,0.0980392156862745,0.0392156862745098,0.00980392156862745,0.362745098039216,0.0294117647058824
Calippo,0.343137254901961,0.225490196078431,0.0882352941176471,0.529411764705882,0.46078431372549,0.235294117647059,0.0784313725490196,0,0.245098039215686,0.176470588235294,0.254901960784314,0.00980392156862745,0.431372549019608,0.0490196078431373
Twinni,0.372549019607843,0.215686274509804,0.0686274509803922,0.313725490196078,0.323529411764706,0.274509803921569,0.0588235294117647,0.0294117647058824,0.254901960784314,0.0980392156862745,0.0980392156862745,0.0196078431372549,0.441176470588235,0.0392156862745098
Tritti,0.0196078431372549,0.0196078431372549,0.00980392156862745,0.0294117647058824,0.0196078431372549,0.0490196078431373,0,0.00980392156862745,0.0196078431372549,0.0392156862745098,0.00980392156862745,0.0980392156862745,0.0588235294117647,0.00980392156862745
Tschisi,0.196078431372549,0.107843137254902,0.0294117647058824,0.0392156862745098,0.0882352941176471,0.166666666666667,0.0196078431372549,0.0196078431372549,0.137254901960784,0.0490196078431373,0.107843137254902,0.0980392156862745,0.235294117647059,0.0196078431372549
